company_name,cleaned_name
1file.org,1file.org
Accreditor ACCU and Sallie Mae,Navient Corp.
ACS,ACS Education Services
ACS Education,ACS Education Services
ACS Education Services,ACS Education Services
ACS-Education,ACS Education Services
ACS/Navient,Navient Corp.
ACS/SUNTRUST EDUCATION,ACS Education Services
Action Financial Services/Central Credit Services,Action Financial Services
AES,American Education Services
AES american education services,American Education Services
AES American Education Services,American Education Services
AES Success,American Education Services
AES/PHEAA,American Education Services
Aiding Student Reflief,Aiding Student Relief
Alaska Commission on Post-Secondary Education,Alaska Commission on Post-Secondary Education
Alumni aid Assistance,Alumni Aid Assistance
American Education Services,American Education Services
"American Educational, Services",American Education Services
American Student Assistance,American Student Assistance
AMERICAN STUDENT AST,American Student Assistance
AMERICAN STUDENT FINANCIAL GROUP; RI,American Student Financial Group
American Student Loan Consolidators,American Student Loan Consolidators
AMERITECH FINANCIAL,Ameritech Financial
Apollo Group INC,Apollo Group Inc
Argosy University,Argosy University
Ashford University (Clinton Iowa Campus),Ashford Unversity
Ashford Unversity,Ashford Unversity
"Asset Recovery Solutions, LLC","Asset Recovery Solutions, LLC"
Assure Direct Services,Assure Direct Services
"Automated Collection Services, Inc","Automated Collection Services, Inc"
Bank Mobile Vibe,Bank Mobile Vibe
Bank of America,Bank of America
Bisk Education INC,Bisk Education Inc
Bisk floridatech online,Bisk Education Inc
BJ's Beauty & Barber College,BJ's Beauty & Barber College
Bleier & Cox APC,Bleier & Cox APC
"Brannon W. Carson, Esq, Lazega & Johanson LLC","Brannon W. Carson, Esq, Lazega & Johanson LLC"
Bright Futures Student Loans,Bright Futures Student Loans
Bryant and Stratton College Eastlake,Bryant and Stratton College Eastlake
Campus Debt Solutions,Campus Debt Solutions
Campus Partners,Campus Partners
"Campus Student Funding, LLC","Campus Student Funding, LLC"
Career Technical School (CTI),Career Technical School (CTI)
Central Credit Services,Central Credit Services
Certified Direct Solutions,Certified Direct Solutions
CFS Collegiate Funding Services,CFS Collegiate Funding Services
Chase,Chase Bank
"Chase Bank USA, NA",Chase Bank
Chase Student Loans,Chase Bank
Citi Bank N.A,CitiBank
Citibank N.A.,CitiBank
Citibank Student Loans,CitiBank
Citizen's Bank,Citizen's Bank
Claimed to be Department of Education,Department of Education
Cloud 9 Student Aid,Cloud 9 Student Aid
Coast Professional Inc.,Coast Professional Inc.
Coastal Professional Inc.,Coast Professional Inc.
"Collecto, EOS CCA","Collecto, EOS CCA"
College America,College America
College Foundation,College Foundation
College Foundation INC,College Foundation
College Foundation of North Carolina,College Foundation
Colorado Technical University,Colorado Technical University
ConServe,ConServe
ConServe Accounts Receivable Management,ConServe
Constar Financial Services,Constar Financial Services
Corinthian,Corinthian
Cornerstone Education Loan Services,Cornerstone Education Loan Services
CornerStone Education Loan Services,Cornerstone Education Loan Services
"Credit Adjustments, Inc.","Credit Adjustments, Inc."
David's Academy of Beauty,David's Academy of Beauty
Debt Management and Collection Services,Debt Management And Collections System
DEBT MANAGEMENT AND COLLECTIONS SYSTEM,Debt Management And Collections System
Debt Management Collections,Debt Management And Collections System
Department of Ed and,Department of Education
Department of Education,Department of Education
Department Of Education,Department of Education
Dept of Education,Department of Education
Dept Pay Gateway,Department of Education
DEPTEDNELNET,Nelnet
Devry University,DeVry University
DeVry University,DeVry University
Direct,Direct Loan
Direct Loan,Direct Loan
Direct Loan Services LLC,Direct Loan Services LLC
Discover Financial Services,Discover Financial Services
Discover student loans,Discover Financial Services
Discover Student Loans,Discover Financial Services
DOC PREP SERVICES LP,Doc Prep Services
Doc-u-help,DocUHelp
Docu Help Express,DocUHelp
Docuprep Center,DocUPrep Center
Earnest Operations LLC,Earnest Operations LLC
Eastern Revenue Inc.,Eastern Revenue Inc.
ECMC,ECMC
ECSI,ECSI
Ed Financial Services,Edfinancial Services
Edfinancial Services,Edfinancial Services
Educap,Educap
Educational Credit management Corporation,Educational Credit Management Corporation
Elan Financial Services,Elan Financial Services
Ellis University,Ellis University
Enterprise Recovery System,Enterprise Recovery System
Equifax Experian TransUnion,"Equifax, Experian, TransUnion"
Equitable Acceptance,Equitable Acceptance
Equitable Acceptance Corp.,Equitable Acceptance
Equitable Acceptance Corporation,Equitable Acceptance
ERC collecton agancy,ERC Collections
Experian,Experian
F.H. Cann & Associates,F.H. Cann & Associates
"F.H. CANN & Associates, INC",F.H. Cann & Associates
Fafsa,FAFSA
FAMS,FAMS
Faulkner University,Faulkner University
Fed Ed Services,Fed Ed Services
Fed Loan Services,FedLoan
